epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.091,0.65922,2.02023,0.96351,1,0.51234,0.89773,0.71249,0.65784,3.02748,0.91577,0.000649123,0.000649123,0.000649123
2,342.082,0.65599,1.30482,0.95069,0.79672,0.57386,0.74397,0.57934,0.88137,3.05152,1.15826,0.00130276,0.00130276,0.00130276
3,512.297,0.73088,1.1842,0.99583,0.90053,0.72014,0.83603,0.65442,0.88717,2.24624,1.12322,0.0019432,0.0019432,0.0019432
4,682.759,0.70856,1.00659,0.97141,0.63166,0.875,0.71203,0.55713,0.74888,2.3607,1.02398,0.0019406,0.0019406,0.0019406
5,851.508,0.6996,0.8672,0.9585,0.84023,0.64773,0.81802,0.62211,0.83415,1.67462,1.16194,0.0019208,0.0019208,0.0019208
6,1020.48,0.69201,0.78186,0.97006,0.97679,0.95648,0.99031,0.82597,0.66541,0.84001,0.93649,0.001901,0.001901,0.001901
7,1190.14,0.67354,0.71632,0.95619,0.94554,0.98658,0.98709,0.85354,0.61265,0.77301,0.91167,0.0018812,0.0018812,0.0018812
8,1358.52,0.62182,0.62328,0.95018,0.98287,0.97813,0.99171,0.84897,0.5815,0.62317,0.88913,0.0018614,0.0018614,0.0018614
9,1527.15,0.63558,0.59313,0.94819,0.98278,0.9729,0.99106,0.86494,0.51257,0.51968,0.86644,0.0018416,0.0018416,0.0018416
10,1694.93,0.6079,0.56,0.93612,0.95642,1,0.98402,0.87791,0.50022,0.81563,0.84432,0.0018218,0.0018218,0.0018218
11,1862.92,0.61618,0.53919,0.9448,0.98961,0.99432,0.99483,0.87622,0.52764,0.5149,0.86034,0.001802,0.001802,0.001802
12,2031.06,0.59013,0.50237,0.91879,0.99946,1,0.995,0.86077,0.56445,0.45056,0.8665,0.0017822,0.0017822,0.0017822
13,2199.13,0.59024,0.48588,0.9402,0.99332,1,0.99489,0.89214,0.51077,0.41245,0.8681,0.0017624,0.0017624,0.0017624
14,2367.53,0.57362,0.46953,0.92975,0.99953,1,0.995,0.89072,0.48956,0.38621,0.85968,0.0017426,0.0017426,0.0017426
15,2535.74,0.57175,0.47048,0.93255,0.99925,0.99432,0.995,0.88782,0.49755,0.38641,0.85266,0.0017228,0.0017228,0.0017228
16,2703.4,0.55532,0.43705,0.9237,0.99952,1,0.995,0.89026,0.45599,0.44275,0.83285,0.001703,0.001703,0.001703
17,2872.75,0.58489,0.45002,0.94016,0.99916,1,0.995,0.89601,0.50257,0.38054,0.84035,0.0016832,0.0016832,0.0016832
18,3044.02,0.52725,0.43155,0.9062,0.971,1,0.99472,0.88898,0.49675,0.4674,0.85278,0.0016634,0.0016634,0.0016634
19,3214.31,0.52252,0.41244,0.91275,0.99938,1,0.995,0.91715,0.41511,0.35492,0.81627,0.0016436,0.0016436,0.0016436
20,3383.13,0.54566,0.40986,0.91807,0.99433,0.99729,0.995,0.89618,0.44306,0.35582,0.82858,0.0016238,0.0016238,0.0016238
21,3551.67,0.5411,0.39976,0.93266,0.98212,1,0.99331,0.87933,0.51774,0.39597,0.85456,0.001604,0.001604,0.001604
22,3719.26,0.53847,0.40174,0.91317,0.99721,0.98864,0.99483,0.89656,0.4418,0.40945,0.82957,0.0015842,0.0015842,0.0015842
23,3886.95,0.53791,0.40551,0.9258,0.94156,0.85795,0.93018,0.81734,0.52341,0.62515,0.86106,0.0015644,0.0015644,0.0015644
24,4054.73,0.52032,0.38851,0.91349,0.98318,0.99658,0.99472,0.916,0.41325,0.32256,0.82777,0.0015446,0.0015446,0.0015446
25,4222.85,0.52778,0.3946,0.92185,0.98246,1,0.98858,0.91014,0.43272,0.31631,0.82138,0.0015248,0.0015248,0.0015248
26,4391.21,0.52103,0.39403,0.89965,0.98794,1,0.99426,0.92099,0.41005,0.31127,0.81225,0.001505,0.001505,0.001505
27,4559.55,0.5005,0.38529,0.89867,0.99696,1,0.995,0.907,0.44021,0.32179,0.82671,0.0014852,0.0014852,0.0014852
