epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5026,0.62552,2.23926,0.91658,0.00727,0.99029,0.97788,0.8383,0.51604,3.25417,0.84737,0.00042,0.00042,0.00042
2,22.785,0.66123,1.2906,0.92657,1,0.34878,0.6475,0.59151,0.54435,3.17588,0.85819,0.00081743,0.00081743,0.00081743
3,33.0063,0.615,1.15613,0.91203,0.85,0.45631,0.6265,0.50024,0.67185,2.53491,0.92812,0.0011713,0.0011713,0.0011713
4,43.0484,0.64854,1.17123,0.97387,0.67791,0.82524,0.86549,0.72772,0.56623,1.89649,0.86609,0.00148161,0.00148161,0.00148161
5,53.0218,0.61277,1.01092,0.92725,0.98057,0.97989,0.98266,0.8642,0.51902,1.002,0.85143,0.001604,0.001604,0.001604
6,63.0707,0.6397,0.94691,0.95448,0.70223,0.83495,0.84733,0.75591,0.54159,1.22358,0.85126,0.001505,0.001505,0.001505
7,73.0981,0.62143,0.85558,0.94288,0.96677,0.99029,0.99383,0.87472,0.50519,0.97055,0.84897,0.001406,0.001406,0.001406
8,83.2358,0.55055,0.77103,0.91339,0.97243,0.97087,0.99145,0.89189,0.47052,0.85617,0.82724,0.001307,0.001307,0.001307
9,93.3446,0.55034,0.71608,0.90133,1,0.9923,0.995,0.89512,0.44553,0.70657,0.81622,0.001208,0.001208,0.001208
10,103.677,0.52005,0.65758,0.89957,0.99038,0.99914,0.99481,0.91307,0.39672,0.65375,0.80851,0.001109,0.001109,0.001109
11,113.15,0.43651,0.65066,0.84016,0.9993,1,0.995,0.90212,0.40845,0.58192,0.80857,0.00101,0.00101,0.00101
12,122.547,0.41357,0.59972,0.82351,0.99882,1,0.995,0.9188,0.39257,0.5443,0.80643,0.000911,0.000911,0.000911
13,132.006,0.40233,0.56426,0.82727,0.99907,1,0.995,0.93529,0.35863,0.48926,0.79688,0.000812,0.000812,0.000812
14,141.439,0.38671,0.52257,0.81969,0.99938,1,0.995,0.93598,0.35466,0.43792,0.79366,0.000713,0.000713,0.000713
15,150.807,0.39336,0.49326,0.81833,0.99941,1,0.995,0.93441,0.36426,0.40969,0.79434,0.000614,0.000614,0.000614
16,160.351,0.37629,0.4789,0.8088,0.99945,1,0.995,0.94161,0.35242,0.38681,0.78983,0.000515,0.000515,0.000515
17,169.986,0.35896,0.4505,0.81143,0.99946,1,0.995,0.95006,0.33792,0.37723,0.78779,0.000416,0.000416,0.000416
18,179.555,0.35381,0.44054,0.80773,0.99944,1,0.995,0.95262,0.30444,0.34929,0.78155,0.000317,0.000317,0.000317
19,189.026,0.31833,0.39727,0.79735,0.99946,1,0.995,0.95535,0.29769,0.32667,0.78061,0.000218,0.000218,0.000218
20,198.474,0.30485,0.38861,0.7919,0.99947,1,0.995,0.95032,0.28484,0.32226,0.77894,0.000119,0.000119,0.000119
