epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.252,0.53401,1.53247,1.08805,0.97356,0.99507,0.99203,0.81672,0.49461,2.52403,0.96896,0.00064,0.00064,0.00064
2,1077.78,0.57885,0.96716,1.10277,0.87113,0.95914,0.94314,0.71166,0.61828,1.99245,1.0878,0.00123565,0.00123565,0.00123565
3,1600.32,0.58398,0.85797,1.06904,0.97349,0.99262,0.99309,0.91282,0.43395,1.2366,0.91754,0.00176596,0.00176596,0.00176596
4,2125.78,0.58665,0.76927,1.0832,0.98308,1,0.9946,0.88592,0.49315,0.96915,0.96439,0.001703,0.001703,0.001703
5,2644.16,0.5521,0.68222,1.05365,0.9821,1,0.99473,0.89132,0.42637,0.89901,0.91509,0.001604,0.001604,0.001604
6,3163.71,0.51221,0.61634,1.00427,1,0.99902,0.995,0.90361,0.45126,0.8335,0.92617,0.001505,0.001505,0.001505
7,3685.34,0.48463,0.57385,1.01775,0.99079,0.98649,0.99487,0.92419,0.3644,0.78336,0.88957,0.001406,0.001406,0.001406
8,4205.67,0.47368,0.53691,1.00551,0.99857,1,0.995,0.96374,0.29816,0.53758,0.81245,0.001307,0.001307,0.001307
9,4725.02,0.44802,0.49327,0.99094,0.99905,1,0.995,0.95198,0.29341,0.44197,0.81826,0.001208,0.001208,0.001208
10,5246.96,0.45788,0.47237,1.00468,0.99687,1,0.995,0.95434,0.27547,0.45791,0.79378,0.001109,0.001109,0.001109
11,5762.66,0.23579,0.40467,0.85375,0.99859,1,0.995,0.98757,0.20619,0.37475,0.75188,0.00101,0.00101,0.00101
12,6287.22,0.23842,0.35152,0.83865,0.99867,1,0.995,0.97803,0.23005,0.31854,0.77311,0.000911,0.000911,0.000911
13,6811.13,0.229,0.33227,0.86062,0.99961,1,0.995,0.99119,0.19093,0.27549,0.75279,0.000812,0.000812,0.000812
14,7331.88,0.20382,0.30181,0.82972,0.99961,1,0.995,0.9948,0.1612,0.25211,0.73162,0.000713,0.000713,0.000713
15,7856.25,0.17893,0.27794,0.81676,0.99953,1,0.995,0.99484,0.14727,0.23981,0.72804,0.000614,0.000614,0.000614
16,8373.33,0.16449,0.25205,0.81712,0.99964,1,0.995,0.995,0.14027,0.22064,0.72883,0.000515,0.000515,0.000515
17,8884.58,0.14881,0.24194,0.81655,0.99962,1,0.995,0.995,0.12818,0.19581,0.72073,0.000416,0.000416,0.000416
18,9400.06,0.14192,0.22363,0.81789,0.99963,1,0.995,0.995,0.11417,0.18964,0.71637,0.000317,0.000317,0.000317
19,9917.29,0.12654,0.21356,0.79908,0.99961,1,0.995,0.995,0.10665,0.1805,0.71432,0.000218,0.000218,0.000218
20,10439.4,0.11528,0.20595,0.79751,0.99962,1,0.995,0.995,0.09695,0.16336,0.71294,0.000119,0.000119,0.000119
